plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	jitter_reset_idx	base_lat	base_back	env_seed	inference_seed	sig	success	rel_path
77e745c37b0f	worker1	OvenRack/out-left	1	2	2	0	0.0	0.1	100754	1300002	9e9305d54fb19a9a	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n2/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	3	0	0.0	0.1	100754	1300003	afe48396eeed6bfc	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n3/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	4	0	0.0	0.1	100754	1300004	5f069b9cb503c79a	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n4/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	5	0	0.0	0.1	100754	1300005	c0ad885bd852916d	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n5/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	6	0	0.0	0.1	100754	1300006	adde33c7eac58011	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n6/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	7	0	0.0	0.1	100754	1300007	92b274e8e4c1aef3	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n7/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	8	0	0.0	0.1	100754	1300008	f2a034a6a77e0905	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n8/base
77e745c37b0f	worker1	OvenRack/out-left	1	2	9	0	0.0	0.1	100754	1300009	decbbd43bd1ab5c7	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j2/n9/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	0	0	0.05	0.1	100754	1300000	1f97a5f9170fb73f	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n0/base
77e745c37b0f	worker1	OvenRack/out-left	1	3	1	0	0.05	0.1	100754	1300001	1f7d8986d5616e79	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j3/n1/base
